a, indef. art., A1
mineral, n, B2
offensive, adj, B2
painter, n, A2
painting, n, A1
minimum, adj, B2
minimum, n, B2
offer, v, A2
offer, n, A2
pair, n, A1
palace, n, A2
pale, adj, B1
pan, n, B1
panel, n, B2
pants, n, A1
paper, n, A1
paragraph, n, A1
parent, n, A1
park, n, A1
park, v, A1
parking, n, A2
part, n, A1
participant, n, B2
participate, v, B1
particular, adj, A2
particularly, adv, B1
partly, adv, B1
partner, n, A1
party, n, A1
pass, v, A2
pass, n, B1
passage, n, B2
passenger, n, A2
passion, n, B1
passport, n, A1
past, adj, A1
past, n, A1
past, prep, A1
past, adv, A2
path, n, B1
patient, n, A2
patient, adj, B2
pattern, n, A2
pay, v, A1
pay, n, A2
payment, n, B1
peace, n, A2
peaceful, adj, B1
pen, n, A1
pencil, n, A1
penny, n, A2
people, n, A1
pepper, n, A1
per, prep, A2
percent, noun, A2
percent, adj/adv, A2
percentage, n, B1
perfect, adj, A1
perfectly, adv, B1
perform, v, A2
performance, n, B1
perhaps, adv, A2
period, n, A1
permanent, adj, B2
permission, n, A2
permit, v, B2
permit, n, B2
person, n, A1
personal, adj, A1
personality, n, A2
personally, adv, B1
perspective, n, B2
persuade, v, B1
pet, n, A2
phase, n, B2
phenomenon, n, B2
philosophy, n, B2
possibly, adv, B1
promote, v, B1
realistic, adj, B2
phone, n, A1
phone, v, A1
post, n, A1
post, v, A1
pronounce, v, A2
reality, n, B1
photo, n, A1
poster, n, A2
proof, n, B2
realize, v, A2
photograph, n, A1
photograph, v, A2
pot, n, B1
proper, adj, B1
really, adv, A1
photographer, n, B1
potato, n, A1
properly, adv, B1
reason, n, A1
photography, n, B1
potential, adj, B2
potential, n, B2
property, n, B1
reasonable, adj, B2
phrase, n, A1
pound, n, A1
proposal, n, B2
recall, v, B2
physical, adj, A2
pour, v, B1
propose, v, B2
receipt, n, B1
physics, n, A2
poverty, n, B1
prospect, n, B2
receive, v, A2
piano, n, A1
powder, n, B1
protect, v, A2
recent, adj, A2
pick, v, A2
pick, n, B2
power, n, A2
power, v, B2
protection, n, B2
reception, n, A2
picture, n, A1
picture, v, B2
powerful, adj, B1
proud, adj, B1
recipe, n, A2
piece, n, A1
practical, adj, B1
prove, v, B1
recognize, v, A2
pig, n, A1
practice, n, A1
practice, v, A1
provide, v, A2
recommend, v, A2
pile, n, B2
pile, v, B2
praise, n, B2
praise, v, B2
psychologist, n, B2
recommendation, n, B1
pin, n, B1
pin, v, B1
pray, v, B1
psychology, n, B2
record, n, A2
record, v, A2
pink, adj, A1
pink, n, A1
predict, v, A2
public, adj, A2
public, n, A2
recording, n, A2
pipe, n, B1
prediction, n, B1
publication, n, B2
recover, v, B2
pitch, n, B2
prefer, v, A1
publish, v, A2
recycle, v, A2
place, n, A1
place, v, B1
pregnant, adj, B2
pull, v, A2
pull, n, B1
red, adj, A1
plain, adj, B2
preparation, n, B2
punish, v, B1
reduce, v, A2
plan, n, A1
prepare, v, A1
punishment, n, B1
reduction, n, B2
plane, n, A1
prepared, adj, B1
purchase, n, B2
refer, v, A2
planet, n, A2
presence, n, B2
pure, adj, B2
reference, n, B1
planning, n, B1
present, adj, A1
present, n, A1
present, v, A2
purple, adj, A1
purple, n, A1
reflect, v, B1
plant, n, A1
plant, v, A2
presentation, n, B1
purpose, n, A2
refrigerator, n, A2
plastic, n, A2
plastic, adj, A2
preserve, v, B2
pursue, v, B2
refuse, v, A2
plate, n, A2
president, n, A2
push, v, A2
push, n, B1
regard, v, B2
regard, n, B2
region, n, A2
platform, n, A2
press, v, B1
press, n, B1
put, v, A1
regional, adj, B2
register, v, B2
register, n, B2
play, v, A1
pressure, n, B1
qualification, n, B1
qualified, adj, B1
player, n, A1
pretend, v, B1
qualify, v, B1
regulation, n, B2
pleasant, adj, B1
pretty, adj, A1
pretty, adv, A1
quality, n, A2
regularly, adv, B1
please, exclam, A1
prevent, v, A2
quantity, n, A2
quarter, n, A1
pleased, adj, A2
previous, adj, B1
queen, n, A2
question, n, A1
question, v, A2
quick, adj, A1
pleasure, n, B1
previously, adv, B1
quietly, adv, A2
quit, v, B1
quite, adv, A1
plot, n, B1
plot, v, B2
priest, n, B1
quickly, adv, A1
quiet, adj, A1
plus, prep, B1
plus, adj, B1
plus, conj, B1
plus, n, B2
primary, adj, B1
relatively, adv, B2
pocket, n, A2
prime, adj, B2
relation, n, B1
relative, adj, B1
poem, n, B1
prince, n, B1
relationship, n, A2
poetry, n, B1
princess, n, B1
relatively, adv, B2
point, n, A1
point, v, B1
principal, n, B1
principal, adj, B2
release, v, B1
release, n, B1
pointed, adj, B2
print, v, A2
print, n, B2
quote, v, B1
quote, n, B1
relaxed, adj, B1
poison, n, B1
poison, v, B1
printer, n, A2
race, n, A2
race, v, A2
racing, n, B1
reliable, adj, B1
police, n, A1
prison, n, B1
radio, n, A2  
religion, n, B1  
policy, n, B1  
prisoner, n, B1  
railroad, n, A2  
religious, adj, B1  
polite, adj, A2  
privacy, n, B2  
rain, n, A1  
rain, v, A1  
rely, v, B2  
political, adj, B1  
prize, n, A2  
range, n, B1  
range, v, B2  
remain, v, B1  
politician, n, B1  
probably, adv, A1  
rank, n, B2  
rank, v, B2  
remember, v, A1  
pollution, n, A2  
problem, n, A1  
rapid, adj, B2  
remind, v, B1  
pool, n, A1  
procedure, n, B2  
rapidly, adv, B2  
remote, adj, B1  
popular, adj, A1  
produce, v, A2  
produce, v, B2  
rare, adj, B1  
remove, v, A2  
popularity, n, B2  
producer, n, B1  
rarely, adv, B1  
rent, n, B1  
rent, v, B1  
repair, v, A2  
repair, n, B1  
population, n, A2  
production, n, B1  
raw, adj, B2  
repeat, v, A1  
repeat, n, B1  
port, n, B1  
profession, n, B1  
reach, v, A2  
reach, n, B2  
portrait, n, B1  
professional, adj, A2  
professional, n, B2  
replace, v, A2  
pose, v, B2  
professor, n, A2  
reply, v, A2  
reply, n, A2  
report, n, A1  
report, v, A2  
position, n, A2
abandon, v, B2  
ability, n, A2  
profile, n, A2  
reader, n, A1  
reporter, n, A2  
positive, adj, A1  
profit, n, B1  
reading, n, A1  
represent, v, B1  
possess, v, B2  
program, n, A1  
progress, n, A2  
project, n, A1  
possession, n, A2  
promise, v, A2  
real, adj, A1  
reputation, n, B2  
possibility, n, A2  
possible, adj, A1  
request, n, A2  
safe, adj, A2  
seriously, adv, B1  
since, prep, A2  
require, v, B1  
sail, v, A2  
sincere, adj, B2  
sing, v, A1  
requirement, n, B2  
sailing, n, A2  
servant, n, B1  
singer, n, A1  
rescue, v, B2  
sailor, n, B1  
serving, n, A2  
singing, n, A2  
researcher, n, A2  
salad, n, A1  
single, adj, A2  
reservation, n, B1  
salary, n, A2  
sink, v, B1  
reserve, n, B2  
sale, n, A2  
sir, n, A2  
resident, n, B2  
salt, n, A1  
sister, n, A1  
resist, v, B2  
same, adj, A1  
settle, v, B2  
sit, v, A1  
resolve, v, B2
sample, n, B1
seven, number, A1
resort, n, B2
sand, n, B1
seventeen, number, A1
resource, n, B1
sandwich, n, A1
seventy, number, A1
respect, n, B1
respect, v, B1
satellite, n, B2
several, det./pron, A2
respond, v, A2
satisfied, adj, B2
severe, adj, B2
response, n, A2
satisfy, v, B2
sex, n, B1
Saturday, n, A1
sexual, adj, B1
shade, n, B2
ski, v, A2
ski, n, A2
skier, n, A2
responsible, adj, B1
sauce, n, A2
shadow, n, B2
rest, n, A2
save, v, A2
shake, v, A2
shake, n, B1
restaurant, n, A1
shall, modal v, B2
result, n, A1
result, v, B1
shallow, adj, B2
retain, v, B2
scared, adj, A2
shape, n, A2
shape, v, B2
retired, adj, B1
scary, adj, A2
share, v, A1
share, n, B1
return, v, A1
return, n, A1
scene, n, A2
sharp, adj, B1
reveal, v, B2
she, pron, A1
sheep, n, A1
review, n, A2
review, v, A2
school, n, A1
sheet, n, A2
revolution, n, B2
scientific, adj, B1
shelf, n, B1
reward, n, B2
reward, v, B2
scientist, n, A1
shell, n, B1
rhythm, n, B2
score, v, A2
score, n, A2
shift, n, B1
shift, v, B2
rice, n, A1
scream, v, B2
scream, n, B2
shine, v, B1
rich, adj, A1
screen, n, A2
screen, v, B2
shiny, adj, B1
rid, v, B2
script, n, B1
ship, n, A2
ship, v, B2
right, adj, A1
right, adv, A1
right, n, A1
sea, n, A2
shirt, n, A1
ring, n, A2
search, n, A2
search, v, A2
shock, n, B2
shock, v, B2
ring, v, A2
season, n, A2
shocked, adj, B2
rise, v, A2
rise, n, B2
seat, n, A2
seat, v, B2
shoe, n, A1
risk, n, B1
risk, v, B1
second, det./number, A1
second, adv, A1
second, n, A1
secondary, adj, B1
shop, n, A1
shop, v, A1
rock, n, A2
secret, adj, A2
secret, n, A2
short, adj, A1
rock, n, A2
secretary, n, A2
shot, n, B2
role, n, A2
section, n, A1
shoulder, n, A2
roll, v, B1
roll, n, B1
sector, n, B2
shout, v, A2
shout, n, A2
romantic, adj, B1
secure, v, B2
secure, adj, B2
show, v, A1
show, n, A1
roof, n, A2
see, v, A1
shower, n, A1
room, n, A1
seed, n, B1
shut, v, A2
shut, adj, A2
root, n, B2
seek, v, B2
sick, adj, A1
rope, n, B1
seem, v, A2
side, n, A2
rough, adj, B1
select, v, B2
sight, n, B1
round, adj, A2
round, adv, A2
round, prep, A2
round, n, B2
self, n, B2
sign, n, A2
sign, v, A2
routine, n, A1
routine, adj, B2
sell, v, A1
signal, n, B1
signal, v, B1
royal, adj, B1
senate, n, B2
significant, adj, B2
rub, v, B2
send, v, A1
silence, n, B2
rubber, n, B2
rubber, adj, B2
senior, adj, B2
silent, adj, B1
rude, adj, A2
sense, n, A2
sense, v, B2
silk, n, B2
rule, n, A1
rule, v, B1
sensible, adj, B1
silly, adj, B1
run, v, A1
run, n, A2
sensitive, adj, B2
silver, n, A2
silver, adj, A2
runner, n, A2
sentence, n, A1
sentence, v, B2
similar, adj, A1
running, n, A2
separate, adj, A2
separate, v, B1
similarity, n, B1
rural, adj, B2
September, n, A1
simple, adj, A2
rush, v, B2
rush, n, B2
sequence, n, B2
sadly, adv, A2
series, n, A2
simply, adv, B1
sound, n, A1
stranger, n, B1
system, n, A2
though, conj, B1
soup, n, A1
strategy, n, A2
table, n, A1
thought, n, A2
source, n, A2
stream, n, B2
tablet, n, A2
thousand, number, A1
south, n, A1
street, n, A1
tail, n, B1
threat, n, B2
southern, adj, B1
strength, n, B1
take, v, A1
threaten, v, B2
space, n, A1
stress, n, A2
tale, n, B2
three, number, A1
speaker, n, A2
stretch, v, B2
talent, n, B1
throat, n, B1
special, adj, A1
strict, adj, B2
talented, adj, B1
through, prep, A1
specialist, n, B2
strike, v, B2
talk, v, A1
talk, n, A2
throughout, prep/adv, B1
species, n, B2
string, n, B1
tall, adj, A1
throw, v, A2
Thursday, n, A1
specific, adj, A2
strong, adj, A1
tank, n, B2
thus, adv, B2
specifically, adv, B1
strongly, adv, B1
target, n, A2
target, v, B2
ticket, n, A1
speech, n, A2
struggle, v, B2
tie, v, B2
tight, adj, B1
speed, n, A2
spell, v, A1
studio, n, B1
time, n, A1
time, v, B2
tiny, adj, B1
spelling, n, A1
study, n, A1
study, v, A1
tip, n, A2
tip, v, B1
tire, n, B1
spend, v, A1
stuff, n, B1
stuff, v, B2
tired, adj, A1
title, n, A1
title, v, B2
to, prep, A1
to, infinitive marker, A1
spending, n, B1
stupid, adj, A2
today, adv, A1
today, n, A1
toe, n, B1
together, adv, A1
toilet, n, A1
tomato, n, A1
tomorrow, adv, A1
tomorrow, n, A1
ton, n, B1
tone, n, B2
tongue, n, B1
tonight, adv, A1
tonight, n, A1
too, adv, A1
tool, n, A2
tooth, n, A1
top, n, A2
top, adj, A2
topic, n, A1
total, adj, B1
total, n, B1
totally, adv, B1
touch, v, A2
touch, n, B1
tough, adj, B2
tour, n, A2
tour, v, B1
tourism, n, A2
tourist, n, A1
toward, prep, A2
towel, n, A2
tower, n, A2
town, n, A1
toy, n, A2
toy, adj, A2
track, n, A2
track, v, B2
trade, n, B1
trade, v, B1
tradition, n, A2
traditional, adj, A2
traffic, n, A2
train, n, A1
trainer, n, B1
training, n, A2
transfer, v, B2
transfer, n, B2
transform, v, B2
transition, n, B2
translate, v, B1
translation, n, B1
transport, v, B1
transportation, n, A2
trash, n, A2
travel, v, A1
travel, n, A1
traveler, n, A2
treat, v, B1
treatment, n, B1
tree, n, A1
trend, n, B1
trial, n, B2
trick, n, B1
trick, v, B1
trip, n, A1
trip, v, B2
tropical, adj, B2
trouble, n, A2
trouble, v, B2
truck, n, A1
true, adj, A1
truly, adv, B2
trust, n, B2
trust, v, B2
truth, n, B1
try, v, A1
try, n, B2
T-shirt, n, A1
tube, n, B1
Tuesday, n, A1
tune, n, B2
tunnel, n, B2
turn, v, A1
turn, n, A1
TV, n, A1
twelve, number, A1
twenty, number, A1
twice, adv, A1
twin, n, A2
twin, adj, A2
two, number, A1
type, n, A1
type, v, B1
typical, adj, A2
typically, adv, B1
ugly, adj, B1
ultimately, adv, B2
umbrellas, n, A1
unable, adj, B1
uncle, n, A1
uncomfortable, adj, B1
unconscious, adj, B2
under, prep., A1
underground, adj., A2
understand, v, A1
understanding, n, A2
underwear, n, B1
unemployed, adj, B1
unemployment, n, B1
unexpected, adj, B2
unfair, adj, B1
unfortunately, adv, A2
unhappy, adj, A2
uniform, n, A2
union, n, B1
unique, adj, B2
unit, n, A2
united, adj, A2
universe, n, B2
university, n, A1
unknown, adj, B2
unless, conj, B1
unlike, prep, B1
unlikely, adj, B1
unnecessary, adj, B1
unpleasant, adj, B1
until, conj/prep, A1
unusual, adj, A2
up, adv., A1
update, v., B1
upon, prep, B1
upper, adj, B2
upset, adj., B1
upstairs, adv., A1
upward, adv, B2
urban, adj, B2
urge, v, B2
us, pron, A1
use, v, A1
used¹, adj, B1
used², adj, B1
used to, modal v, A2
useful, adj, A1
user, n, A2
usual, adj, A2
usually, adv, A1
vacation, n, A1
valley, n, A1
n. A2, valuable, adj, B1, value, n, B1, v, B2, van, n, B2, variety, n, A2, various, adj, B1, vary, v, B2, vast, adj, B2, vegetable, n, A1, vehicle, n, A2, venue, n, B2, version, n, B1, very, adv, A1, adj, B2, via, prep, B2, victim, n, B1, victory, n, B2, video, n, A1, view, n, A2, v, B1, viewer, n, B1, village, n, A2, violence, n, B2, violent, adj, B1, virtual, adj, B2, virus, n, A2, vision, n, B2, visit, v, n, A1, visitor, n, A1, visual, adj, B2, vital, adj, B2, vitamin, n, B2, voice, n, A2, volume, n, B2, volunteer, n, v, B1, vote, n, v, B1, wage, n, B2, wait, v, A1, n, A2, waiter, n, A1, wake, v, A1, walk, v, n, A1, wall, n, A1, want, v, A1, war, n, A2, warm, adj, A1, v, B1, warn, v, B1, warning, n, B1, wash, v, A1, n, A2, washing, n, A2, waste, n, v, adj, B1, watch, v, n, A1, water, n, A1, v, B1, wave, n, A2, v, B1, way, n, A1, adv, B2, we, pron, A1, weak, adj, A2, weakness, n, B2
wealth, n, B2
wealthy, adj, B2
weapon, n, B1
wear, v, A1
weather, n, A1
web, n, A2
website, n, A1
wedding, n, A2
Wednesday, n, A1
week, n, A1
weekend, n, A1
weigh, v, B1
weight, n, A2
welcome, exclaim, A1
welcome, v, A1
welcome, adj, A1
welcome, n, A2
well, adv, A1
well, adj, A1
well, exclaim, A1
west, n, A1
west, adj, A1
west, adv, A1
western, adj, B1
wet, adj, A2
what, pron/det, A1
whatever, det/pron, B1
wheel, n, A2
when, adv, A1
when, pron, A1
when, conj, A1
whenever, conj, B1
where, adv, A1
where, conj, A1
whereas, conj, B2
wherever, conj, B2
whether, conj, B1
which, pron/det, A1
while, conj, A2
while, n, B1
whisper, v, B2
whisper, n, B2
white, adj, A1
white, n, A1
who, pron, A1
whole, adj, A2
whole, n, B1
whom, pron, B2
whose, det/pron, A2
why, adv, A1
wide, adj, A2
widely, adv, B2
wife, n, A1
wild, adj, A2
wildlife, n, B2
will, modal v, A1
will, n, B1
willing, adj, B2
win, v, A1
win, n, B1
wind¹, n, A2
wind², v, B2
window, n, A1
wine, n, A1
wing, n, A1
winner, n, B1
ability, n, A2
winter, n, A1
wire, n, B2
wise, adj, B2
wish, v, A2
with, prep, A1
within, prep, B1
without, prep, A1
witness, n, B2
woman, n, A1
wonder, v, B1
wonderful, adj, A1
wood, n, A2
wooden, adj, A2
wool, n, B1
word, n, A1
work, v, A1
worker, n, A1
working, adj, A2
world, n, A1
worldwide, adj, B1
worried, adj, A2
worry, v, A2
worse, adj, A2
worst, adj, A2
worth, adj, B1
would, modal v, A1
wound, n, B2
wow, exclam, A2
wrap, v, B2
write, v, A1
writer, n, A1
writing, n, A1
written, adj, B1
wrong, adj, A1
yard, n, A1
yeah, exclam, A1
year, n, A1
yellow, adj, A1
yes, exclam, A1
yesterday, adv, A1
yet, adv, A2
you, pron, A1
young, adj, A1
your, det, A1
yours, pron, A2
yourself, pron, A1
youth, n, B1
zero, number, A2
zone, n, B1
n, n, B2
